cluster	GO.ID	Term	weightedFisher	Annotated	Significant	Expected	richFactor	log10_pval	Genes
Cluster_1	GO:0046656	folic acid biosynthetic process	0.0062	7	2	0.12	0.286	2.208	AN2493,AN8188
Cluster_1	GO:0033212	iron assimilation	0.0082	8	2	0.14	0.25	2.086	AN0607,AN6293
Cluster_1	GO:1900551	N',N'',N'''-triacetylfusarinine C biosynthetic process	0.0104	9	2	0.16	0.222	1.983	AN0608,AN6236
Cluster_1	GO:0016095	polyprenol catabolic process	0.0178	1	1	0.02	1	1.75	AN4071
Cluster_1	GO:0006990	positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response	0.0178	1	1	0.02	1	1.75	AN9397
Cluster_1	GO:0006386	termination of RNA polymerase III transcription	0.0178	1	1	0.02	1	1.75	AN4219
Cluster_1	GO:0006971	hypotonic response	0.0178	1	1	0.02	1	1.75	AN5776
Cluster_1	GO:0018106	peptidyl-histidine phosphorylation	0.0178	1	1	0.02	1	1.75	AN1800
Cluster_1	GO:0001113	transcriptional open complex formation at RNA polymerase II promoter	0.0178	1	1	0.02	1	1.75	AN5752
Cluster_1	GO:0052059	evasion or tolerance by symbiont of host-produced reactive oxygen species	0.0178	1	1	0.02	1	1.75	AN1131
Cluster_1	GO:0043200	response to amino acid	0.0178	1	1	0.02	1	1.75	AN11921
Cluster_1	GO:0006880	intracellular sequestering of iron ion	0.0178	1	1	0.02	1	1.75	AN0607
Cluster_1	GO:0009408	response to heat	0.0315	73	5	1.3	0.068	1.502	AN0858,AN1015,AN6293,AN7388,AN9450
Cluster_1	GO:1900781	fumiquinazoline C biosynthetic process	0.0321	16	2	0.28	0.125	1.493	AN0147,AN7269
Cluster_1	GO:0019521	D-gluconate metabolic process	0.0321	16	2	0.28	0.125	1.493	AN2493,AN7388
Cluster_1	GO:0008204	ergosterol metabolic process	0.035	36	3	0.64	0.083	1.456	AN0608,AN4208,AN6236
Cluster_1	GO:0031669	cellular response to nutrient levels	0.0351	169	5	3.01	0.03	1.455	AN0607,AN5200,AN6293,AN7388,AN8262
Cluster_1	GO:0042779	tRNA 3'-trailer cleavage	0.0353	2	1	0.04	0.5	1.452	AN4219
Cluster_1	GO:0015684	ferrous iron transport	0.0353	2	1	0.04	0.5	1.452	AN4990
Cluster_1	GO:0061414	positive regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source	0.0353	2	1	0.04	0.5	1.452	AN6293
Cluster_1	GO:0061415	negative regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source	0.0353	2	1	0.04	0.5	1.452	AN6293
Cluster_1	GO:0006799	polyphosphate biosynthetic process	0.0353	2	1	0.04	0.5	1.452	AN1334
Cluster_1	GO:1900778	fumiquinazoline A biosynthetic process	0.0353	2	1	0.04	0.5	1.452	AN0147
Cluster_1	GO:0035948	positive regulation of gluconeogenesis by positive regulation of transcription from RNA polymerase II promoter	0.0353	2	1	0.04	0.5	1.452	AN6293
Cluster_1	GO:0019533	cellobiose transport	0.0353	2	1	0.04	0.5	1.452	AN8347
Cluster_1	GO:0043335	protein unfolding	0.0353	2	1	0.04	0.5	1.452	AN0858
Cluster_1	GO:0030643	cellular phosphate ion homeostasis	0.0353	2	1	0.04	0.5	1.452	AN5156
Cluster_1	GO:0006853	carnitine shuttle	0.0353	2	1	0.04	0.5	1.452	AN6279
Cluster_1	GO:0019953	sexual reproduction	0.0354	272	5	4.84	0.018	1.451	AN5156,AN6566,AN7388,AN8262,AN9450
Cluster_1	GO:0006334	nucleosome assembly	0.0359	17	2	0.3	0.118	1.445	AN3468,AN3469
Cluster_1	GO:0006879	cellular iron ion homeostasis	0.0393	26	4	0.46	0.154	1.406	AN0607,AN3681,AN4990,AN6293
Cluster_3	GO:0000768	syncytium formation by plasma membrane fusion	0.00017	29	5	0.54	0.172	3.77	AN2701,AN4264,AN4702,AN5169,AN5458
Cluster_3	GO:0006043	glucosamine catabolic process	0.00034	2	2	0.04	1	3.469	AN1418,AN1428
Cluster_3	GO:0006046	N-acetylglucosamine catabolic process	0.00101	3	2	0.06	0.667	2.996	AN1418,AN1428
Cluster_3	GO:0015813	L-glutamate transmembrane transport	0.00101	3	2	0.06	0.667	2.996	AN6118,AN8785
Cluster_3	GO:0043943	regulation of asexual sporulation resulting in formation of a cellular spore	0.00197	25	4	0.46	0.16	2.706	AN0186,AN2059,AN5028,AN8741
Cluster_3	GO:0030007	cellular potassium ion homeostasis	0.002	4	2	0.07	0.5	2.699	AN8029,AN8830
Cluster_3	GO:0005982	starch metabolic process	0.01128	9	2	0.17	0.222	1.948	AN2016,AN2017
Cluster_3	GO:0005975	carbohydrate metabolic process	0.01516	498	18	9.23	0.036	1.819	AN0367,AN0933,AN10533,AN1418,AN1551,AN2016,AN2017,AN2395,AN2815,AN4255,AN4691,AN4825,AN4871,AN5604,AN5975,AN6985,AN7588,AN9339
Cluster_3	GO:0075308	negative regulation of conidium formation	0.01683	11	2	0.2	0.182	1.774	AN8129,AN9121
Cluster_3	GO:0006168	adenine salvage	0.01853	1	1	0.02	1	1.732	AN9083
Cluster_3	GO:0040010	positive regulation of growth rate	0.01853	1	1	0.02	1	1.732	AN4419
Cluster_3	GO:0035865	cellular response to potassium ion	0.01853	1	1	0.02	1	1.732	AN2919
Cluster_3	GO:2000786	positive regulation of autophagosome assembly	0.01853	1	1	0.02	1	1.732	AN4419
Cluster_3	GO:0070778	L-aspartate transmembrane transport	0.01853	1	1	0.02	1	1.732	AN6118
Cluster_3	GO:0006532	aspartate biosynthetic process	0.01853	1	1	0.02	1	1.732	AN6048
Cluster_3	GO:0015686	ferric triacetylfusarinine C transport	0.01853	1	1	0.02	1	1.732	AN8540
Cluster_3	GO:0015764	N-acetylglucosamine transport	0.01853	1	1	0.02	1	1.732	AN1427
Cluster_3	GO:1900695	regulation of N',N'',N'''-triacetylfusarinine C biosynthetic process	0.01853	1	1	0.02	1	1.732	AN2855
Cluster_3	GO:1990573	potassium ion import across plasma membrane	0.01853	1	1	0.02	1	1.732	AN8029
Cluster_3	GO:0044209	AMP salvage	0.01853	1	1	0.02	1	1.732	AN9083
Cluster_3	GO:0019593	mannitol biosynthetic process	0.01853	1	1	0.02	1	1.732	AN5975
Cluster_3	GO:0016119	carotene metabolic process	0.01853	1	1	0.02	1	1.732	AN9339
Cluster_3	GO:0019295	coenzyme M biosynthetic process	0.01853	1	1	0.02	1	1.732	AN10197
Cluster_3	GO:0019571	D-arabinose catabolic process	0.01853	1	1	0.02	1	1.732	AN4691
Cluster_3	GO:0019528	D-arabitol catabolic process to xylulose 5-phosphate	0.01853	1	1	0.02	1	1.732	AN4691
Cluster_3	GO:1900854	positive regulation of terrequinone A biosynthetic process	0.01853	1	1	0.02	1	1.732	AN8741
Cluster_3	GO:0043941	positive regulation of sexual sporulation resulting in formation of a cellular spore	0.02684	14	2	0.26	0.143	1.571	AN5028,AN9121
Cluster_3	GO:0030435	sporulation resulting in formation of a cellular spore	0.03558	210	11	3.89	0.052	1.449	AN0186,AN2059,AN2919,AN4419,AN4871,AN4897,AN5028,AN5170,AN6731,AN8741,AN9121
Cluster_3	GO:0019988	charged-tRNA amino acid modification	0.03671	2	1	0.04	0.5	1.435	AN7709
Cluster_3	GO:0045046	protein import into peroxisome membrane	0.03671	2	1	0.04	0.5	1.435	AN4899
Cluster_3	GO:0071578	zinc ion import across plasma membrane	0.03671	2	1	0.04	0.5	1.435	AN3799
Cluster_3	GO:0071242	cellular response to ammonium ion	0.03671	2	1	0.04	0.5	1.435	AN6730
Cluster_3	GO:0006543	glutamine catabolic process	0.03671	2	1	0.04	0.5	1.435	AN0565
Cluster_3	GO:0019413	acetate biosynthetic process	0.03671	2	1	0.04	0.5	1.435	AN0554
Cluster_3	GO:0018158	protein oxidation	0.03671	2	1	0.04	0.5	1.435	AN9339
Cluster_3	GO:0070409	carbamoyl phosphate biosynthetic process	0.03671	2	1	0.04	0.5	1.435	AN0565
Cluster_3	GO:0001516	prostaglandin biosynthetic process	0.03671	2	1	0.04	0.5	1.435	AN5028
Cluster_3	GO:0000025	maltose catabolic process	0.03671	2	1	0.04	0.5	1.435	AN2017
Cluster_3	GO:0015810	aspartate transmembrane transport	0.03671	2	1	0.04	0.5	1.435	AN8785
Cluster_3	GO:0031388	organic acid phosphorylation	0.03671	2	1	0.04	0.5	1.435	AN2311
Cluster_3	GO:0070301	cellular response to hydrogen peroxide	0.04301	18	2	0.33	0.111	1.366	AN6849,AN9339
Cluster_4	GO:0048315	conidium formation	4.6e-06	132	14	2.26	0.106	5.337	AN1052,AN1536,AN1848,AN2421,AN2523,AN2740,AN2911,AN4935,AN5755,AN5836,AN5893,AN6317,AN6318,AN7657
Cluster_4	GO:0016584	nucleosome positioning	1e-05	18	5	0.31	0.278	5	AN0098,AN2911,AN4034,AN6195,AN7545
Cluster_4	GO:0030448	hyphal growth	9.3e-05	188	12	3.22	0.064	4.032	AN12408,AN1536,AN1848,AN2523,AN4935,AN5457,AN5836,AN6195,AN6317,AN6318,AN7572,AN8831
Cluster_4	GO:1900699	negative regulation of o-orsellinic acid biosynthetic process	0.00029	2	2	0.03	1	3.538	AN1052,AN8797
Cluster_4	GO:0071998	ascospore release from ascus	0.00087	3	2	0.05	0.667	3.06	AN0098,AN1536
Cluster_4	GO:0006357	regulation of transcription by RNA polymerase II	0.00091	226	14	3.88	0.062	3.041	AN0098,AN1060,AN2290,AN2421,AN2911,AN2944,AN4741,AN4935,AN5836,AN5893,AN6195,AN7468,AN7572,AN8168
Cluster_4	GO:0009932	cell tip growth	0.00172	4	2	0.07	0.5	2.764	AN6317,AN6318
Cluster_4	GO:0038032	termination of G-protein coupled receptor signaling pathway	0.00172	4	2	0.07	0.5	2.764	AN5755,AN5893
Cluster_4	GO:0043945	positive regulation of asexual sporulation resulting in formation of a cellular spore	0.00194	15	3	0.26	0.2	2.712	AN1052,AN5836,AN8945
Cluster_4	GO:0010914	positive regulation of sterigmatocystin biosynthetic process	0.00236	16	3	0.27	0.188	2.627	AN0807,AN1052,AN5893
Cluster_4	GO:0006072	glycerol-3-phosphate metabolic process	0.00283	5	2	0.09	0.4	2.548	AN1396,AN5589
Cluster_4	GO:0006109	regulation of carbohydrate metabolic process	0.00409	37	5	0.63	0.135	2.388	AN2421,AN4034,AN7468,AN7545,AN8667
Cluster_4	GO:0006808	regulation of nitrogen utilization	0.00411	11	4	0.19	0.364	2.386	AN0098,AN2944,AN8168,AN8667
Cluster_4	GO:1900691	positive regulation of gliotoxin biosynthetic process	0.00419	6	2	0.1	0.333	2.378	AN0807,AN1052
Cluster_4	GO:0015976	carbon utilization	0.0045	24	4	0.41	0.167	2.347	AN1918,AN5626,AN6195,AN7468
Cluster_4	GO:0006031	chitin biosynthetic process	0.00575	17	3	0.29	0.176	2.24	AN2523,AN6317,AN6318
Cluster_4	GO:1904359	regulation of spore germination	0.00581	7	2	0.12	0.286	2.236	AN0129,AN4544
Cluster_4	GO:0070787	conidiophore development	0.00792	83	7	1.42	0.084	2.101	AN0098,AN1052,AN1536,AN1848,AN4935,AN5836,AN7572
Cluster_4	GO:0043936	asexual sporulation resulting in formation of a cellular spore	0.00863	73	7	1.25	0.096	2.064	AN1037,AN1052,AN2505,AN5836,AN5893,AN6318,AN8945
Cluster_4	GO:0009847	spore germination	0.0094	56	6	0.96	0.107	2.027	AN0129,AN1052,AN2421,AN2911,AN4544,AN5836
