hasPeak.An_kdmB_48h_HA_1	hasPeak.An_sntB_48h_HA_1	hasPeak.An_ecoA_48h_HA_1	hasPeak.An_rpdA_48h_HA_1	group	pathway_id	Pathway_Name	Gene_Found	Gene_Pathway	Percentage	pvalue	pvalueAdj	geneIds
FALSE	FALSE	FALSE	TRUE	1	03010	Ribosome	27	96	0.28	5.87822643309668e-07	7.46534757003278e-05	AN0116.2/AN0433.2/AN1166.2/AN1228.2/AN1345.2/AN1964.2/AN3172.2/AN3823.2/AN4016.2/AN4087.2/AN4202.2/AN4522.2/AN4594.2/AN5014.2/AN5800.2/AN5996.2/AN6082.2/AN6083.2/AN6181.2/AN6202.2/AN6500.2/AN6629.2/AN6632.2/AN8705.2/AN9465.2/AN9468.2/AN9469.2
FALSE	FALSE	FALSE	TRUE	1	04111	Cell cycle - yeast	19	73	0.26	8.13768731861442e-05	0.00516743144732016	AN0814.2/AN0872.2/AN1207.2/AN1545.2/AN2296.2/AN2491.2/AN3450.2/AN3451.2/AN3946.2/AN4085.2/AN4571.2/AN5494.2/AN5899.2/AN6364.2/AN7499.2/AN7723.2/AN7994.2/AN8783.2/AN8844.2
FALSE	FALSE	FALSE	TRUE	1	04113	Meiosis - yeast	13	53	0.25	0.00156401053812868	0.0593598074349426	AN0814.2/AN0872.2/AN1207.2/AN2491.2/AN3450.2/AN3946.2/AN4085.2/AN5494.2/AN6364.2/AN7723.2/AN7994.2/AN8783.2/AN9467.2
FALSE	FALSE	FALSE	TRUE	1	01100	Metabolic pathways	94	901	0.1	0.00186960023417142	0.0593598074349426	AN0192.2/AN0385.2/AN0451.2/AN0490.2/AN0687.2/AN0752.2/AN0774.2/AN0775.2/AN0827.2/AN0893.2/AN0910.2/AN1063.2/AN1135.2/AN1136.2/AN1222.2/AN1263.2/AN1446.2/AN1521.2/AN1683.2/AN1722.2/AN1726.2/AN1810.2/AN1811.2/AN1883.2/AN1965.2/AN2133.2/AN2272.2/AN2334.2/AN2414.2/AN2415.2/AN2440.2/AN2867.2/AN3291.2/AN3402.2/AN3638.2/AN3639.2/AN3830.2/AN3841.2/AN3846.2/AN4054.2/AN4082.2/AN4258.2/AN4288.2/AN4414.2/AN4687.2/AN4688.2/AN4718.2/AN4727.2/AN4992.2/AN5105.2/AN5571.2/AN5586.2/AN5658.2/AN5701.2/AN5731.2/AN5732.2/AN5820.2/AN5867.2/AN5883.2/AN5884.2/AN5902.2/AN5919.2/AN5957.2/AN6197.2/AN6231.2/AN6536.2/AN6557.2/AN6589.2/AN7152.2/AN7325.2/AN7439.2/AN7632.2/AN7641.2/AN7722.2/AN7745.2/AN7752.2/AN7864.2/AN7865.2/AN8041.2/AN8049.2/AN8203.2/AN8204.2/AN8216.2/AN8217.2/AN8559.2/AN8709.2/AN8755.2/AN8770.2/AN8891.2/AN9108.2/AN9125.2/AN9388.2/AN9446.2/AN9522.2
FALSE	FALSE	FALSE	TRUE	1	03410	Base excision repair	6	18	0.33	0.00247457007715681	0.0628540799597828	AN2764.2/AN3947.2/AN6682.2/AN7325.2/AN7435.2/AN7439.2
FALSE	FALSE	FALSE	TRUE	1	00240	Pyrimidine metabolism	13	58	0.22	0.00383421497576332	0.0811575503203235	AN0192.2/AN0490.2/AN0752.2/AN1521.2/AN2133.2/AN2415.2/AN4075.2/AN4258.2/AN5884.2/AN7325.2/AN7439.2/AN8216.2/AN9125.2
FALSE	FALSE	FALSE	TRUE	1	00514	Other types of O-glycan biosynthesis	2	4	0.5	0.00551356288780133	0.100031783821538	AN2752.2/AN5105.2
FALSE	FALSE	FALSE	TRUE	1	00400	Phenylalanine, tyrosine and tryptophan biosynthesis	6	22	0.27	0.00877424467782058	0.139291134260402	AN1135.2/AN1137.2/AN5701.2/AN5731.2/AN6231.2/AN8709.2
FALSE	FALSE	FALSE	TRUE	1	03450	Non-homologous end-joining	3	9	0.33	0.0133913419314835	0.188966713922044	AN2764.2/AN3619.2/AN7753.2
FALSE	FALSE	FALSE	TRUE	1	03440	Homologous recombination	5	19	0.26	0.0157674979047493	0.200207162270058	AN1237.2/AN3619.2/AN4407.2/AN4555.2/AN7325.2
FALSE	FALSE	FALSE	TRUE	1	00220	Arginine biosynthesis	5	20	0.25	0.0203795528906691	0.200207162270058	AN1883.2/AN5867.2/AN7722.2/AN8709.2/AN8770.2
FALSE	FALSE	FALSE	TRUE	1	03020	RNA polymerase	5	20	0.25	0.0203795528906691	0.200207162270058	AN0192.2/AN0752.2/AN1521.2/AN2415.2/AN9125.2
FALSE	FALSE	FALSE	TRUE	1	04120	Ubiquitin mediated proteolysis	10	50	0.2	0.0204936465315807	0.200207162270058	AN0482.2/AN0814.2/AN2298.2/AN2413.2/AN2450.2/AN5235.2/AN5495.2/AN5906.2/AN8702.2/AN8844.2
FALSE	FALSE	FALSE	TRUE	1	00280	Valine, leucine and isoleucine degradation	8	39	0.21	0.0266426692191339	0.241687070773572	AN0385.2/AN1726.2/AN3639.2/AN4054.2/AN4687.2/AN4688.2/AN5957.2/AN8559.2
FALSE	FALSE	FALSE	TRUE	1	04130	SNARE interactions in vesicular transport	3	11	0.27	0.0290432566505692	0.24589957297482	AN1229.2/AN1973.2/AN4551.2
FALSE	FALSE	FALSE	TRUE	1	01230	Biosynthesis of amino acids	20	127	0.16	0.0314714543359071	0.249804668791263	AN0385.2/AN1135.2/AN1222.2/AN1446.2/AN1883.2/AN1965.2/AN2334.2/AN2440.2/AN3830.2/AN5701.2/AN5731.2/AN5820.2/AN5867.2/AN5957.2/AN6231.2/AN6536.2/AN7722.2/AN8041.2/AN8709.2/AN8770.2
FALSE	FALSE	FALSE	TRUE	1	00515	Mannose type O-glycan biosynthesis	1	3	0.33	0.0365687919740159	0.258013143372223	AN5105.2
FALSE	FALSE	FALSE	TRUE	1	00785	Lipoic acid metabolism	1	3	0.33	0.0365687919740159	0.258013143372223	AN5732.2
FALSE	FALSE	TRUE	FALSE	2	03410	Base excision repair	1	18	0.06	0.00196368226579329	0.094193317459053	AN3129.2
FALSE	FALSE	TRUE	FALSE	2	03020	RNA polymerase	1	20	0.05	0.00242442227199254	0.094193317459053	AN9120.2
FALSE	FALSE	TRUE	FALSE	2	03018	RNA degradation	1	43	0.02	0.010783696289167	0.094193317459053	AN1119.2
FALSE	FALSE	TRUE	FALSE	2	00270	Cysteine and methionine metabolism	1	46	0.02	0.0122546955090206	0.094193317459053	AN3378.2
FALSE	FALSE	TRUE	FALSE	2	00520	Amino sugar and nucleotide sugar metabolism	1	55	0.02	0.0171389444098241	0.0948901173772035	AN4367.2
FALSE	FALSE	TRUE	FALSE	2	00240	Pyrimidine metabolism	1	58	0.02	0.0189166868757332	0.0948901173772035	AN9120.2
FALSE	FALSE	TRUE	FALSE	2	00970	Aminoacyl-tRNA biosynthesis	1	63	0.02	0.0220368724448166	0.0984691681261534	AN0428.2
FALSE	FALSE	TRUE	FALSE	2	03008	Ribosome biogenesis in eukaryotes	1	64	0.02	0.0226838102567329	0.0984691681261534	AN8253.2
FALSE	FALSE	TRUE	FALSE	2	00230	Purine metabolism	1	80	0.01	0.0339998291159652	0.103840392226653	AN9120.2
FALSE	FALSE	TRUE	FALSE	2	03040	Spliceosome	1	80	0.01	0.0339998291159652	0.103840392226653	AN1119.2
FALSE	FALSE	TRUE	FALSE	2	00190	Oxidative phosphorylation	1	84	0.01	0.0370930992407125	0.103840392226653	AN2306.2
FALSE	FALSE	TRUE	TRUE	3	00311	Penicillin and cephalosporin biosynthesis	2	5	0.4	1.40431016970195e-05	0.00178347391552147	AN2621.2/AN2622.2
FALSE	FALSE	TRUE	TRUE	3	01100	Metabolic pathways	14	901	0.02	0.00126459919884744	0.0803020491268122	AN0636.2/AN0851.2/AN1804.2/AN2314.2/AN2497.2/AN2621.2/AN2622.2/AN3466.2/AN3467.2/AN3634.2/AN3903.2/AN7000.2/AN7684.2/AN8869.2
FALSE	FALSE	TRUE	TRUE	3	00460	Cyanoamino acid metabolism	2	25	0.08	0.00269152638098968	0.113941283461897	AN1804.2/AN3903.2
FALSE	FALSE	TRUE	TRUE	3	00020	Citrate cycle (TCA cycle)	2	28	0.07	0.00373142961944739	0.11830320194698	AN3466.2/AN7000.2
FALSE	FALSE	TRUE	TRUE	3	00500	Starch and sucrose metabolism	3	63	0.05	0.00498035501762801	0.11830320194698	AN1804.2/AN2314.2/AN3903.2
FALSE	FALSE	TRUE	TRUE	3	00062	Fatty acid elongation	1	10	0.1	0.00558912765103842	0.11830320194698	AN2497.2
FALSE	FALSE	TRUE	TRUE	3	04130	SNARE interactions in vesicular transport	1	11	0.09	0.00677602179032364	0.122936395338729	AN2048.2
FALSE	FALSE	TRUE	TRUE	3	00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	1	15	0.07	0.012524876161134	0.144605388405819	AN0636.2
FALSE	FALSE	TRUE	TRUE	3	01110	Biosynthesis of secondary metabolites	7	358	0.02	0.019117197938244	0.168438570958326	AN0851.2/AN1804.2/AN2314.2/AN3466.2/AN3634.2/AN3903.2/AN7000.2
FALSE	FALSE	TRUE	TRUE	3	00640	Propanoate metabolism	1	21	0.05	0.023873183285432	0.168438570958326	AN7000.2
FALSE	FALSE	TRUE	TRUE	3	00400	Phenylalanine, tyrosine and tryptophan biosynthesis	1	22	0.05	0.0260518263503942	0.173432320081179	AN3634.2
FALSE	FALSE	TRUE	TRUE	3	00100	Steroid biosynthesis	1	25	0.04	0.0330356313294807	0.173432320081179	AN0851.2
FALSE	FALSE	TRUE	TRUE	3	00310	Lysine degradation	1	25	0.04	0.0330356313294807	0.173432320081179	AN3466.2
FALSE	FALSE	TRUE	TRUE	3	00480	Glutathione metabolism	1	26	0.04	0.0355058293079579	0.173432320081179	AN6158.2
