GO.ID	Term	weightedFisher	Annotated	Significant	Expected	richFactor	log10_pval	Genes
GO:0034605	cellular response to heat	2.7e-07	54	35	16.66	0.648	6.569	AN0182,AN0858,AN0931,AN1017,AN10673,AN1546,AN1652,AN2269,AN2731,AN2761,AN2911,AN3583,AN3592,AN3725,AN4189,AN4310,AN4467,AN4501,AN4668,AN4716,AN4897,AN4987,AN5129,AN5324,AN5523,AN5635,AN5755,AN5975,AN6293,AN6849,AN7388,AN7572,AN7698,AN8269,AN8643
GO:0030448	hyphal growth	7.5e-07	186	89	57.4	0.478	6.125	AN0163,AN0182,AN0253,AN0410,AN0640,AN0651,AN0667,AN0863,AN1025,AN10515,AN10709,AN11098,AN1123,AN1168,AN1171,AN12408,AN1324,AN1536,AN1539,AN1555,AN1628,AN1733,AN1848,AN2009,AN2067,AN2212,AN2269,AN2412,AN2489,AN2516,AN2523,AN2701,AN2901,AN3113,AN3416,AN3422,AN3683,AN3719,AN3730,AN3735,AN3787,AN3795,AN4189,AN4238,AN4416,AN4566,AN4570,AN4667,AN4685,AN4702,AN4716,AN4743,AN4935,AN4987,AN5057,AN5296,AN5457,AN5651,AN5660,AN5740,AN5802,AN5803,AN5832,AN5836,AN6037,AN6195,AN6243,AN6317,AN6318,AN6330,AN6566,AN6685,AN6688,AN6697,AN6920,AN7030,AN7032,AN7104,AN7464,AN7487,AN7572,AN7576,AN7678,AN7687,AN7698,AN8009,AN8831,AN8863,AN9450
GO:0006355	regulation of transcription, DNA-templated	1.1e-06	677	263	208.91	0.388	5.959	AN0096,AN0098,AN0148,AN0162,AN0176,AN0182,AN0202,AN0253,AN0263,AN0279,AN0364,AN0410,AN0440,AN0533,AN0554,AN0568,AN0585,AN0680,AN0689,AN0742,AN0748,AN0766,AN0817,AN0835,AN0863,AN0891,AN0902,AN0928,AN10059,AN10120,AN10128,AN1016,AN1017,AN10191,AN10192,AN10378,AN10541,AN10548,AN10550,AN1060,AN10606,AN10610,AN10761,AN10763,AN10789,AN10854,AN10911,AN10912,AN11098,AN11099,AN11112,AN11165,AN1170,AN11753,AN1183,AN11891,AN11961,AN12120,AN1217,AN1226,AN1227,AN1232,AN1265,AN1303,AN1339,AN1402,AN1406,AN1414,AN1416,AN1425,AN1485,AN1518,AN1536,AN1546,AN1639,AN1678,AN1720,AN1800,AN1812,AN1848,AN1893,AN1924,AN1927,AN1984,AN2001,AN2009,AN2016,AN2020,AN2025,AN2036,AN2046,AN2136,AN2276,AN2290,AN2375,AN2421,AN2426,AN2489,AN2500,AN2516,AN2581,AN2597,AN2852,AN2855,AN2902,AN2905,AN2911,AN2944,AN2984,AN2996,AN3048,AN3067,AN3071,AN3075,AN3102,AN3120,AN3152,AN3214,AN3216,AN3224,AN3250,AN3356,AN3369,AN3422,AN3423,AN3433,AN3449,AN3468,AN3506,AN3587,AN3607,AN3637,AN3675,AN3683,AN3684,AN3688,AN3730,AN3769,AN3785,AN3835,AN3868,AN3911,AN3919,AN4034,AN4113,AN4134,AN4175,AN4210,AN4238,AN4247,AN4324,AN4335,AN4361,AN4479,AN4501,AN4521,AN4558,AN4570,AN4741,AN4744,AN4783,AN4818,AN4900,AN4933,AN4935,AN4972,AN4976,AN4985,AN4987,AN5170,AN5218,AN5279,AN5296,AN5349,AN5351,AN5651,AN5691,AN5747,AN5752,AN5775,AN5836,AN5849,AN5870,AN5893,AN5898,AN5924,AN5955,AN6062,AN6091,AN6129,AN6195,AN6218,AN6293,AN6359,AN6392,AN6684,AN6733,AN6820,AN6828,AN6832,AN6837,AN6849,AN6858,AN6982,AN7012,AN7050,AN7118,AN7190,AN7297,AN7303,AN7332,AN7468,AN7475,AN7507,AN7513,AN7545,AN7572,AN7592,AN7610,AN7661,AN7872,AN7896,AN7921,AN7942,AN7951,AN8039,AN8079,AN8111,AN8129,AN8164,AN8168,AN8186,AN8211,AN8251,AN8282,AN8298,AN8414,AN8426,AN8431,AN8473,AN8590,AN8636,AN8643,AN8645,AN8655,AN8666,AN8667,AN8671,AN8694,AN8724,AN8753,AN8825,AN8885,AN8978,AN9008,AN9025,AN9095,AN9096,AN9116,AN9141,AN9221,AN9397,AN9458
GO:0015976	carbon utilization	1.5e-06	24	19	7.41	0.792	5.824	AN0689,AN1017,AN10550,AN1918,AN3597,AN4462,AN4668,AN5356,AN5604,AN5626,AN5634,AN5746,AN6195,AN6279,AN6293,AN6653,AN7468,AN7610,AN9461
GO:0007231	osmosensory signaling pathway	4.3e-06	16	14	4.94	0.875	5.367	AN0931,AN1017,AN1358,AN1800,AN2005,AN2269,AN2911,AN3688,AN4479,AN4668,AN4745,AN6892,AN6982,AN7698
GO:0006038	cell wall chitin biosynthetic process	7.8e-06	10	10	3.09	1	5.108	AN1069,AN10709,AN1554,AN1555,AN4234,AN4501,AN4566,AN6318,AN7032,AN7576
GO:0034599	cellular response to oxidative stress	2.9e-05	113	59	34.87	0.522	4.538	AN0170,AN0182,AN0273,AN0363,AN0423,AN0432,AN0607,AN0609,AN0757,AN0771,AN0988,AN1017,AN10220,AN10949,AN1131,AN1274,AN1401,AN1632,AN1639,AN1652,AN2099,AN2269,AN2412,AN2846,AN2911,AN3688,AN3725,AN3793,AN3829,AN3973,AN4238,AN4483,AN4668,AN4758,AN4987,AN5131,AN5159,AN5324,AN5447,AN5523,AN5755,AN5803,AN5823,AN5918,AN5975,AN5991,AN6849,AN7513,AN7567,AN7572,AN7698,AN8414,AN8643,AN8692,AN8805,AN8837,AN9090,AN9103,AN9339
GO:0032196	transposition	0.00012	15	12	4.63	0.8	3.921	AN0081,AN0263,AN10066,AN10127,AN10329,AN2269,AN3048,AN3422,AN4335,AN4976,AN5956,AN8186
GO:0000768	syncytium formation by plasma membrane fusion	0.00012	29	19	8.95	0.655	3.921	AN10261,AN1848,AN2269,AN2701,AN3422,AN3719,AN4189,AN4264,AN4702,AN4743,AN5131,AN5169,AN5457,AN5458,AN5614,AN5776,AN6125,AN7297,AN8831
GO:0048315	conidium formation	0.00014	132	68	40.73	0.515	3.854	AN0081,AN0182,AN0279,AN0363,AN0410,AN0420,AN0651,AN0721,AN0863,AN0931,AN1016,AN1017,AN10515,AN1052,AN10610,AN1168,AN1171,AN1189,AN1324,AN1485,AN1536,AN1539,AN1555,AN1848,AN2009,AN2269,AN2412,AN2421,AN2489,AN2523,AN2740,AN2742,AN2911,AN3416,AN3422,AN3607,AN3688,AN3719,AN4189,AN4563,AN4566,AN4695,AN4716,AN4935,AN4987,AN5156,AN5296,AN5755,AN5757,AN5836,AN5893,AN6037,AN6230,AN6243,AN6317,AN6318,AN6566,AN7030,AN7032,AN7104,AN7464,AN7657,AN7687,AN7757,AN8129,AN8751,AN9121,AN9339
