hasPeak.An_kdmB_20h_HA_1	hasPeak.An_sntB_20h_HA_1	hasPeak.An_ecoA_20h_HA_1	hasPeak.An_rpdA_20h_HA_1	group	pathway_id	Pathway_Name	Gene_Found	Gene_Pathway	Percentage	pvalue	pvalueAdj	geneIds
FALSE	FALSE	FALSE	TRUE	01	00472	D-Arginine and D-ornithine metabolism	1	1	1	0	0	AN0174.2
FALSE	FALSE	FALSE	TRUE	01	03010	Ribosome	32	96	0.33	3.14764473480187e-08	1.99875440659919e-06	AN0465.2/AN0776.2/AN0843.2/AN0907.2/AN1095.2/AN1228.2/AN1345.2/AN3172.2/AN3823.2/AN4016.2/AN4060.2/AN4087.2/AN4202.2/AN4308.2/AN4494.2/AN4522.2/AN4787.2/AN4916.2/AN5222.2/AN5520.2/AN5800.2/AN5979.2/AN5997.2/AN6202.2/AN6629.2/AN6632.2/AN7354.2/AN8705.2/AN8870.2/AN9465.2/AN9468.2/AN9469.2
FALSE	FALSE	FALSE	TRUE	01	04146	Peroxisome	15	52	0.29	0.000674515307234381	0.0259494426364703	AN0174.2/AN1014.2/AN1059.2/AN1483.2/AN2281.2/AN2925.2/AN3687.2/AN4975.2/AN5113.2/AN5646.2/AN6752.2/AN7770.2/AN8204.2/AN8280.2/AN9522.2
FALSE	FALSE	FALSE	TRUE	01	03430	Mismatch repair	8	21	0.38	0.000817305279888829	0.0259494426364703	AN2446.2/AN3749.2/AN3797.2/AN5006.2/AN6300.2/AN6303.2/AN6517.2/AN7325.2
FALSE	FALSE	FALSE	TRUE	01	01100	Metabolic pathways	109	904	0.12	0.00167029115360828	0.0424253953016502	AN0174.2/AN0205.2/AN0252.2/AN0321.2/AN0354.2/AN0423.2/AN0490.2/AN0636.2/AN0687.2/AN0952.2/AN1140.2/AN1165.2/AN1263.2/AN1403.2/AN1446.2/AN1521.2/AN1683.2/AN1896.2/AN1897.2/AN1899.2/AN1968.2/AN2235.2/AN2261.2/AN2446.2/AN2464.2/AN2525.2/AN2623.2/AN2684.2/AN2766.2/AN2867.2/AN3168.2/AN3466.2/AN3467.2/AN3569.2/AN3593.2/AN3634.2/AN3841.2/AN3846.2/AN3920.2/AN3933.2/AN4054.2/AN4245.2/AN4288.2/AN4303.2/AN4348.2/AN4380.2/AN4414.2/AN4424.2/AN4830.2/AN4975.2/AN4992.2/AN5162.2/AN5206.2/AN5601.2/AN5606.2/AN5616.2/AN5635.2/AN5644.2/AN5646.2/AN5658.2/AN5701.2/AN5842.2/AN5916.2/AN5957.2/AN6037.2/AN6182.2/AN6346.2/AN6536.2/AN6557.2/AN6580.2/AN6710.2/AN6711.2/AN6712.2/AN6717.2/AN6752.2/AN7051.2/AN7211.2/AN7325.2/AN7430.2/AN7439.2/AN7461.2/AN7488.2/AN7489.2/AN7502.2/AN7629.2/AN8012.2/AN8203.2/AN8204.2/AN8272.2/AN8273.2/AN8280.2/AN8288.2/AN8546.2/AN8763.2/AN8770.2/AN8790.2/AN8793.2/AN8872.2/AN9094.2/AN9107.2/AN9116.2/AN9120.2/AN9125.2/AN9157.2/AN9388.2/AN9400.2/AN9401.2/AN9403.2/AN9522.2
FALSE	FALSE	FALSE	TRUE	01	03020	RNA polymerase	7	20	0.35	0.00273229713934624	0.0578336227828287	AN0321.2/AN1521.2/AN2235.2/AN3933.2/AN8272.2/AN9120.2/AN9125.2
FALSE	FALSE	FALSE	TRUE	01	03420	Nucleotide excision repair	10	36	0.28	0.00520234622787904	0.0943854244200912	AN2446.2/AN3797.2/AN3890.2/AN4331.2/AN6300.2/AN6303.2/AN6517.2/AN7325.2/AN7439.2/AN8201.2
FALSE	FALSE	FALSE	TRUE	01	00240	Pyrimidine metabolism	14	58	0.24	0.00630316581765078	0.100062757355206	AN0321.2/AN0490.2/AN1521.2/AN2235.2/AN2446.2/AN3933.2/AN4075.2/AN4380.2/AN7325.2/AN7439.2/AN7502.2/AN8272.2/AN9120.2/AN9125.2
FALSE	FALSE	FALSE	TRUE	01	04111	Cell cycle - yeast	16	73	0.22	0.0107716036074706	0.151999295349862	AN0872.2/AN1019.2/AN1867.2/AN2143.2/AN2296.2/AN2491.2/AN3648.2/AN4597.2/AN4873.2/AN5057.2/AN5494.2/AN5899.2/AN6364.2/AN7499.2/AN8013.2/AN8783.2
FALSE	FALSE	FALSE	TRUE	01	04145	Phagosome	9	36	0.25	0.0154758084498518	0.196542767313118	AN0118.2/AN0316.2/AN3168.2/AN3592.2/AN3842.2/AN4743.2/AN5606.2/AN7570.2/AN9107.2
