hasPeak.An_kdmB_20h_HA_1	hasPeak.An_sntB_20h_HA_1	hasPeak.An_ecoA_20h_HA_1	hasPeak.An_rpdA_20h_HA_1	group	GO.ID	Term	weightedFisher	Annotated	Significant	Expected	richFactor	log10_pval	Genes
FALSE	FALSE	FALSE	TRUE	01	GO:0006412	translation	7.9e-10	453	56	43.04	0.124	9.102	AN0278,AN0465,AN0776,AN0843,AN0907,AN0974,AN0978,AN10416,AN10740,AN1080,AN1095,AN1158,AN12011,AN1228,AN1345,AN1521,AN1913,AN2246,AN2992,AN3172,AN3173,AN3702,AN3823,AN3824,AN4060,AN4087,AN4163,AN4202,AN4308,AN4494,AN4522,AN4652,AN4916,AN5222,AN5662,AN5979,AN5997,AN6146,AN6202,AN6302,AN6629,AN6632,AN7354,AN7479,AN7554,AN8191,AN8705,AN8712,AN8800,AN8853,AN8867,AN8870,AN9157,AN9465,AN9468,AN9469
FALSE	FALSE	FALSE	TRUE	01	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	3.9e-06	52	21	4.94	0.404	5.409	AN0305,AN0421,AN0465,AN1345,AN1434,AN2292,AN2759,AN3167,AN3172,AN3313,AN3745,AN3823,AN4226,AN5222,AN6556,AN6561,AN6585,AN7526,AN8870,AN9398,AN9468
FALSE	FALSE	FALSE	TRUE	01	GO:0000278	mitotic cell cycle	6.5e-06	263	61	24.99	0.232	5.187	AN0118,AN0253,AN0316,AN0420,AN0872,AN10087,AN1019,AN10206,AN10635,AN10755,AN11032,AN1171,AN1324,AN1398,AN1546,AN1560,AN1875,AN1922,AN2128,AN2143,AN2246,AN2317,AN2491,AN3154,AN3437,AN3622,AN3648,AN3910,AN4163,AN4493,AN4513,AN4597,AN4685,AN4804,AN4961,AN4996,AN5057,AN5494,AN5518,AN5574,AN5631,AN5686,AN5717,AN5815,AN5885,AN5899,AN6044,AN6147,AN6364,AN6590,AN6896,AN7296,AN7325,AN7439,AN7499,AN8013,AN8783,AN8836,AN8862,AN9435,AN9463
FALSE	FALSE	FALSE	TRUE	01	GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.00015	28	10	2.66	0.357	3.824	AN0305,AN0421,AN1434,AN2759,AN3167,AN3172,AN3745,AN3823,AN6556,AN9398
FALSE	FALSE	FALSE	TRUE	01	GO:0006407	rRNA export from nucleus	0.00022	11	6	1.05	0.545	3.658	AN0843,AN3172,AN4060,AN4087,AN5997,AN6632
FALSE	FALSE	FALSE	TRUE	01	GO:0036180	filamentous growth of a population of unicellular organisms in response to biotic stimulus	0.00031	110	23	10.45	0.209	3.509	AN0118,AN0163,AN0305,AN10701,AN11793,AN12465,AN1546,AN2278,AN2516,AN3095,AN3583,AN4202,AN4380,AN4685,AN6496,AN6687,AN7697,AN7766,AN8044,AN8488,AN8836,AN9126,AN9398
FALSE	FALSE	FALSE	TRUE	01	GO:0006891	intra-Golgi vesicle-mediated transport	0.00036	16	7	1.52	0.438	3.444	AN0762,AN11500,AN1973,AN6825,AN7462,AN8488,AN8828
FALSE	FALSE	FALSE	TRUE	01	GO:0008298	intracellular mRNA localization	0.00037	5	4	0.48	0.8	3.432	AN10280,AN1158,AN11773,AN6556
FALSE	FALSE	FALSE	TRUE	01	GO:0006271	DNA strand elongation involved in DNA replication	4e-04	19	9	1.81	0.474	3.398	AN0253,AN10087,AN10635,AN2446,AN2491,AN6300,AN6303,AN6517,AN7325
FALSE	FALSE	FALSE	TRUE	01	GO:0070914	UV-damage excision repair	0.00041	12	6	1.14	0.5	3.387	AN10087,AN2446,AN6300,AN6303,AN6517,AN7325
